,F,S_parameter,best_val_mse,best_val_R2,test_mse,test_R2
0,20000000000.0,"A(1,1)",0.027552621439099312,0.9672987318142202,0.024367205798625946,0.9730286280469914
1,20000000000.0,"P(1,1)",0.413364052772522,0.39544513157676364,0.20835626125335693,0.7081816778471297
2,20000000000.0,"A(1,2)",0.060460414737463,0.9192029648201917,0.0588911697268486,0.8968792642265789
3,20000000000.0,"P(1,2)",0.03129911050200462,0.9580138154778823,0.023187613114714622,0.9596346104914025
4,20000000000.0,"A(1,3)",0.00011654611444100738,0.9999053741592868,7.373523840215057e-05,0.999940190613634
5,20000000000.0,"P(1,3)",0.08206356316804886,0.884077328841892,0.08175992220640182,0.9066168597351846
6,20000000000.0,"A(1,4)",0.017437292262911797,0.9790587363213683,0.05522379279136658,0.9383219204678218
7,20000000000.0,"P(1,4)",1.0093196630477905,-3.6588979185715065,1.116786003112793,-1.9788204178221864
8,20000000000.0,"A(2,1)",0.04019440338015556,0.9512622404040536,0.05741370841860771,0.9357301554694356
9,20000000000.0,"P(2,1)",0.038789886981248856,0.9414038837606707,0.020725732669234276,0.9689841836671405
10,20000000000.0,"A(2,2)",0.058705732226371765,0.9444272713509622,0.06715971231460571,0.9117652035275811
11,20000000000.0,"P(2,2)",0.06985937803983688,0.9086721786397901,0.03881675750017166,0.956698586648401
12,20000000000.0,"A(2,3)",0.0045336512848734856,0.9960311028884093,0.008266031742095947,0.9894490418643411
13,20000000000.0,"P(2,3)",1.1291674375534058,-5.783882629686407,1.2216140031814575,-3.735734170973978
14,20000000000.0,"A(2,4)",9.168520045932382e-05,0.9998916489886138,0.00010003753413911909,0.9998986546098606
15,20000000000.0,"P(2,4)",0.7919652462005615,-0.30288370633391826,0.9025052785873413,0.19460055980484403
16,20000000000.0,"A(3,1)",8.883087139111012e-05,0.9999141894231184,0.00010312655649613589,0.9998812872332408
17,20000000000.0,"P(3,1)",1.039310336112976,-0.4679615456462223,1.5236154794692993,-1.0232911031271317
18,20000000000.0,"A(3,2)",0.027437852695584297,0.9688081798762547,0.016806939616799355,0.9807012764386207
19,20000000000.0,"P(3,2)",1.6608308553695679,-3.4314314385794527,1.4235494136810303,-1.6906041815720223
20,20000000000.0,"A(3,3)",0.02510920725762844,0.97053743626399,0.02315165288746357,0.9785032000318854
21,20000000000.0,"P(3,3)",0.35372453927993774,0.4781341662979677,0.3304159939289093,0.5762723336785378
22,20000000000.0,"A(3,4)",0.11880818754434586,0.8687984286969634,0.20662789046764374,0.722445386708728
23,20000000000.0,"P(3,4)",0.36277374625205994,0.510758137248545,0.2059241682291031,0.7202600371942269
24,20000000000.0,"A(4,1)",0.02907724678516388,0.9692906673288832,0.04219710826873779,0.9432792531029045
25,20000000000.0,"P(4,1)",0.9760327339172363,-4.610422510516909,1.2943814992904663,-4.107936979872709
26,20000000000.0,"A(4,2)",0.00017097234376706183,0.9998286108168328,0.0003241068043280393,0.9996820837851088
27,20000000000.0,"P(4,2)",1.0630145072937012,-8.599409679037617,0.9931122660636902,-4.91543961311819
28,20000000000.0,"A(4,3)",0.11099309474229813,0.8234835655080295,0.19344757497310638,0.7072187658051136
29,20000000000.0,"P(4,3)",0.16863702237606049,0.8026682178431325,0.2970603108406067,0.6288675755702056
30,20000000000.0,"A(4,4)",0.029032887890934944,0.9715304102595627,0.09467677772045135,0.868969499950039
31,20000000000.0,"P(4,4)",0.17751586437225342,0.7274333632142505,0.33333662152290344,0.43588703696112674
32,40000000000.0,"A(1,1)",0.3317534327507019,0.48075277011258843,0.40962281823158264,0.3626494302115638
33,40000000000.0,"P(1,1)",1.1182812452316284,-10.696318448569802,1.045693039894104,-8.666637183149552
34,40000000000.0,"A(1,2)",1.392642617225647,-2.6760228995381894,0.9937655925750732,-6.526617963875963
35,40000000000.0,"P(1,2)",1.3620595932006836,-7.9693713216039725,1.4226001501083374,-9.818268636243294
36,40000000000.0,"A(1,3)",0.00021075346739962697,0.9997530154498471,0.00029861507937312126,0.9997354489241971
37,40000000000.0,"P(1,3)",0.0912308320403099,0.8873227946301071,0.22868889570236206,0.6813644985894232
38,40000000000.0,"A(1,4)",0.06093943119049072,0.9424952110322727,0.06818652153015137,0.9319859615691705
39,40000000000.0,"P(1,4)",0.3213886022567749,0.49424639211497856,0.34096983075141907,0.46977737572751954
40,40000000000.0,"A(2,1)",1.5438652038574219,-0.5517878408582777,2.034428119659424,-1.129398383850197
41,40000000000.0,"P(2,1)",1.3985083103179932,-8.216686452867972,1.3244179487228394,-8.33306710337576
42,40000000000.0,"A(2,2)",0.6504126787185669,0.16129040242356918,0.4620070159435272,0.2629114547086262
43,40000000000.0,"P(2,2)",1.0313479900360107,-8.60367305110049,1.2118158340454102,-23.84939137581167
44,40000000000.0,"A(2,3)",0.1993161290884018,0.735733055588367,0.14066223800182343,0.8594817356492477
45,40000000000.0,"P(2,3)",0.17280912399291992,0.6828331554222772,0.1374315768480301,0.77524709470289
46,40000000000.0,"A(2,4)",0.00012757169315591455,0.9998727836609593,0.0002691524859983474,0.9997258128189555
47,40000000000.0,"P(2,4)",0.30018842220306396,0.5540788907985672,0.493195503950119,0.06578161616804579
48,40000000000.0,"A(3,1)",0.00017527336603961885,0.999784535485327,0.00015974941197782755,0.9998346479995269
49,40000000000.0,"P(3,1)",0.03530319035053253,0.9588898946206466,0.04157169163227081,0.9553483717664534
50,40000000000.0,"A(3,2)",0.10988091677427292,0.8400578433501472,0.2145245373249054,0.7955625722991765
51,40000000000.0,"P(3,2)",0.48105910420417786,-0.30867491354591503,0.13346779346466064,0.8100329558432235
52,40000000000.0,"A(3,3)",0.3984977900981903,0.3305359666555022,0.3948899209499359,0.32467867423636576
53,40000000000.0,"P(3,3)",1.2805379629135132,-7.236045476295647,1.352489709854126,-7.264695556891361
54,40000000000.0,"A(3,4)",1.4728267192840576,-7.160965782551841,1.2665438652038574,-3.9213100113641977
55,40000000000.0,"P(3,4)",1.8097918033599854,-7.29407373525971,1.1900221109390259,-14.200726180319005
56,40000000000.0,"A(4,1)",0.18759775161743164,0.7879538356365867,0.334693968296051,0.674015850299592
57,40000000000.0,"P(4,1)",0.046652719378471375,0.9209009234762336,0.040855035185813904,0.9549205391401697
58,40000000000.0,"A(4,2)",0.00011716321751009673,0.9998966228010711,0.00014058276428841054,0.9998310727970168
59,40000000000.0,"P(4,2)",0.0225492212921381,0.9744947257311991,0.04380941390991211,0.9466074563972541
60,40000000000.0,"A(4,3)",0.8720188140869141,-6.729661499271142,1.409939169883728,-8.755832777678265
61,40000000000.0,"P(4,3)",1.578650951385498,-28.451346197300225,1.5428030490875244,-32.665419369321945
62,40000000000.0,"A(4,4)",0.49721553921699524,0.262442792546696,0.4768303334712982,0.40934979801253346
63,40000000000.0,"P(4,4)",1.4596666097640991,-8.721093629558576,1.1850833892822266,-14.632537985213583
64,60000000000.0,"A(1,1)",0.025223810225725174,0.9710054222249719,0.02188640460371971,0.9788717095849048
65,60000000000.0,"P(1,1)",0.42334383726119995,0.3477594965274239,0.5407676100730896,0.26816574894288325
66,60000000000.0,"A(1,2)",0.04850097745656967,0.9369148488737294,0.04229577258229256,0.9600458672931061
67,60000000000.0,"P(1,2)",0.004964388906955719,0.9954521168088312,0.0037832497619092464,0.9947675314730429
68,60000000000.0,"A(1,3)",2.4252256480394863e-05,0.9999756093587964,1.6982146917143837e-05,0.9999756421946905
69,60000000000.0,"P(1,3)",0.00041975811473093927,0.999570222434629,0.0014531734632328153,0.9982476310573004
70,60000000000.0,"A(1,4)",0.006084413733333349,0.9919643908162281,0.006087770685553551,0.9950876705681712
